,prcptot,r95,r99,r10,r20,wet-day frequency
prcptot,1.0000000000000004,,,,,
r95,0.9169816401219161,0.9999999999999998,,,,
r99,0.8228987038131166,0.9664404752231001,1.0000000000000002,,,
r10,0.9878764818664848,0.8734053516350844,0.7499112373323937,0.9999999999999999,,
r20,0.9861905955874686,0.9407319285896567,0.8380451501956636,0.9770945687898503,0.9999999999999996,
wet-day frequency,0.854503227697773,0.6071356936345337,0.483871337610904,0.8653404764705606,0.7748170235426656,0.9999999999999998
